"species","family","pred","virus"
"Acerodon celebensis","Pteropodidae",219.095825195312,"EBOV"
"Acerodon humilis","Pteropodidae",244.653396606445,"EBOV"
"Acerodon jubatus","Pteropodidae",223.058349609375,"EBOV"
"Acerodon leucotis","Pteropodidae",263.476593017578,"EBOV"
"Acerodon mackloti","Pteropodidae",234.516326904297,"EBOV"
"Aethalops aequalis","Pteropodidae",217.946685791016,"EBOV"
"Aethalops alecto","Pteropodidae",196.85124206543,"EBOV"
"Alionycteris paucidentata","Pteropodidae",202.148971557617,"EBOV"
"Ametrida centurio","Phyllostomidae",128.680694580078,"EBOV"
"Amorphochilus schnablii","Furipteridae",170.081558227539,"EBOV"
"Anoura aequatoris","Phyllostomidae",128.340957641602,"EBOV"
"Anoura cadenai","Phyllostomidae",124.556419372559,"EBOV"
"Anoura carishina","Phyllostomidae",123.928535461426,"EBOV"
"Anoura caudifer","Phyllostomidae",130.806030273438,"EBOV"
"Anoura cultrata","Phyllostomidae",152.984466552734,"EBOV"
"Anoura fistulata","Phyllostomidae",115.890625,"EBOV"
"Anoura geoffroyi","Phyllostomidae",133.802001953125,"EBOV"
"Anoura latidens","Phyllostomidae",151.394256591797,"EBOV"
"Anoura luismanueli","Phyllostomidae",127.507789611816,"EBOV"
"Anoura peruana","Phyllostomidae",114.501586914062,"EBOV"
"Anthops ornatus","Hipposideridae",225.548416137695,"EBOV"
"Antrozous pallidus","Vespertilionidae",242.074813842773,"EBOV"
"Aproteles bulmerae","Pteropodidae",212.290008544922,"EBOV"
"Ardops nichollsi","Phyllostomidae",129.349456787109,"EBOV"
"Arielulus aureocollaris","Vespertilionidae",211.03923034668,"EBOV"
"Arielulus circumdatus","Vespertilionidae",222.354583740234,"EBOV"
"Arielulus cuprosus","Vespertilionidae",196.089218139648,"EBOV"
"Arielulus societatis","Vespertilionidae",222.631790161133,"EBOV"
"Arielulus torquatus","Vespertilionidae",227.369140625,"EBOV"
"Ariteus flavescens","Phyllostomidae",106.27082824707,"EBOV"
"Artibeus aequatorialis","Phyllostomidae",142.503341674805,"EBOV"
"Artibeus amplus","Phyllostomidae",88.1406784057617,"EBOV"
"Artibeus concolor","Phyllostomidae",94.3955917358398,"EBOV"
