Event ID,Spillover ID,Initial Event,Virus,Data type,Nonhuman primate,Other mammal,Human,Country,Year,Human start date,Start date,Location,Source,Date source,Latitude,Longitude,Coordinate source,Cases,Deaths,DOI
1,0,,,Antibody,,,,Ethiopia,1961,,,,Tignor et al. 1993,,,,,NA,NA,10.1016/0035-9203(93)90471-2
2,1,T,,Antibody,,,T,DRC,1972,5/15/72,5/15/72,Tandala Hospital,Heymann et al. 1980,Heymann et al. 1980,2.97323,19.350035,Google Maps,NA,NA,10.1093/infdis/142.3.372
3,2,T,SUDV,Confirmed,,,T,S Sudan,1976,6/27/76,6/27/76,Nzara,WHO 1978,WHO 1978,4.63912,28.25115,Mylne et al. 2014,284,151,https://iris.who.int/handle/10665/261727
4,3,T,EBOV,Confirmed,,,T,DRC,1976,8/26/76,8/26/76,Yambuku,WHO 1978,WHO 1978,2.82535,22.22567,Mylne et al. 2014,318,280,https://iris.who.int/handle/10665/261727
5,4,T,EBOV,Confirmed,,,T,DRC,1977,6/15/77,6/15/77,Bonduni,Heymann et al. 1980,Heymann et al. 1980,2.88874,19.22384,Mylne et al. 2014,1,1,10.1093/infdis/142.3.372
6,5,T,EBOV,Antibody,,,T,DRC,1977,11/15/77,11/15/77,Bowabili,Heymann et al. 1980,Heymann et al. 1980,2.702713,19.350317,Google Maps,NA,NA,10.1093/infdis/142.3.372
7,6,T,SUDV,Confirmed,,,T,S Sudan,1979,7/31/79,7/31/79,Nzara,Baron et al. 1983,Baron et al. 1983,4.63912,28.25115,Mylne et al. 2014,34,22,
8,7,T,,Observed,T,,,CD'I,1992,,11/15/92,Tai Forest,Formenty et al. 1999,Formenty et al. 1999,5.86442,-7.31794,Mylne et al. 2014,NA,NA,
9,8,T,TAFV,Confirmed,T,,T,CD'I,1994,11/24/94,10/25/94,Tai Forest,Formenty et al. 1999,Formenty et al. 1999,5.86442,-7.31794,Mylne et al. 2014,1,0,
10,9,T,EBOV,Confirmed,T,T,T,Gabon,1994,11/15/94,11/15/94,"Mekouka, Andock",Amblard et al. 1997,Amblard et al. 1997,1.44201,12.92929,Mylne et al. 2014,51,31,
12,10,T,EBOV,Confirmed,,,T,DRC,1995,1/6/95,1/6/95,Mwembe (Kikwit),,Khan et al. 1999,-5.03334,18.81667,Mylne et al. 2014,315,254,
14,11,T,EBOV,Confirmed,T,T,T,Gabon,1995,1/31/96,12/15/95,Elir and Mayibooth,"Lahm et al. 2007, Georges et al. 1999","Lahm et al. 2007, Georges et al. 1999",1.27019,13.179447,Google Maps,31,21,10.1016/j.trstmh.2006.07.002
15,12,,EBOV,Confirmed,T,,T,Gabon,1996,7/13/96,7/13/96,SHM timber concession,Georges et al. 1999,Georges et al. 1999,0.445628,11.873764,Google Maps,60,45,
16,12,,EBOV,Confirmed,T,,,Gabon,1996,,7/15/96,Lope National Park,Golding unpublished,Golding unpublished,-0.146386,11.574976,Golding unpublished,NA,NA,
17,13,,EBOV,Local,T,T,,Gabon,1997,,1/15/97,"Mekouka, Masoko, Ete",Lahm et al. 2007,Lahm et al. 2007,1.4,12.983333,Georges et al. 1999,NA,NA,10.1016/j.trstmh.2006.07.002
18,14,,EBOV,Local,T,T,,Gabon,1997,,2/15/97,SHM timber concession,Lahm et al. 2007,Lahm et al. 2007,0.445628,11.873764,Google Maps,NA,NA,10.1016/j.trstmh.2006.07.002
19,15,T,EBOV,Local,T,,,Gabon,1997,,5/15/97,Mbokamabaka,Lahm et al. 2007,Lahm et al. 2007,1.4,12.983333,Georges et al. 1999,NA,NA,10.1016/j.trstmh.2006.07.002
21,16,T,EBOV,Local,T,,,Gabon,1997,,12/15/97,Mekouka,Lahm et al. 2007,Lahm et al. 2007,1.4,12.983333,Georges et al. 1999,NA,NA,10.1016/j.trstmh.2006.07.002
22,16,T,EBOV,Local,T,T,,Gabon,1997,,12/15/97,Upper Ayina,Lahm et al. 2007,Lahm et al. 2007,2.239623,12.821772,Google Maps,NA,NA,10.1016/j.trstmh.2006.07.002
24,17,T,EBOV,Local,,T,,Gabon,1998,,5/15/98,Andock,Lahm et al. 2007,Lahm et al. 2007,1.483333333,12.91666667,Georges et al. 1999,NA,NA,10.1016/j.trstmh.2006.07.002
25,18,T,EBOV,Local,T,,,Gabon,1999,,1/15/99,Minkebe,Lahm et al. 2007,Lahm et al. 2007,1.76667,12.8,Mylne et al. 2014,NA,NA,10.1016/j.trstmh.2006.07.002
26,19,T,EBOV,Local,,T,,Gabon,2000,,2/15/00,Makouke,Lahm et al. 2007,Lahm et al. 2007,-0.527336,10.280027,Google Maps,NA,NA,10.1016/j.trstmh.2006.07.002
27,20,T,EBOV,Local,T,T,,Gabon,2000,,8/15/00,GEB 1,Lahm et al. 2007,Lahm et al. 2007,0.01339,11.139396,Google Maps,NA,NA,10.1016/j.trstmh.2006.07.002
28,20,T,EBOV,Local,T,T,,Gabon,2000,,8/15/00,Rougier 1 and 2,Lahm et al. 2007,Lahm et al. 2007,-0.1411915,12.2969225,Google Maps,NA,NA,10.1016/j.trstmh.2006.07.002
29,21,T,SUDV,Confirmed,,,T,Uganda,2000,8/30/00,8/30/00,Rwot-Obillo,Okware et al. 2002,Okware et al. 2002,2.94998,32.19997,Mylne et al. 2014,425,224,
30,22,T,,Local,T,,,Gabon,2001,,8/15/01,"GEB 2, Rougier 3",Lahm et al. 2007,Lahm et al. 2007,0.0175095,11.9155955,Google Maps,NA,NA,
32,23,T,EBOV,Confirmed,T,T,T,Gabon,2001,10/21/01,8/15/01,east Mekambo region /Mendemba area/Lossi,Lahm et al. 2007,Lahm et al. 2007,0.562475775,14.27075563,Golding unpublished,65,53,
44,24,T,EBOV,Confirmed,T,T,T,Gabon,2001,11/28/01,8/15/01,east Mekambo region /Mendemba area/Lossi,Lahm et al. 2007,Lahm et al. 2007,0.562475775,14.27075563,Golding unpublished,NA,NA,
47,25,T,,Local,T,T,,Gabon,2002,12/21/02,10/15/02,Kelle-Mbomo,Lahm et al. 2007,Lahm et al. 2007,-0.11441,14.37567,Mylne et al. 2014,NA,NA,
49,26,T,EBOV,Confirmed,T,T,T,ROC,2002,12/21/02,12/21/02,Yembelengoye,WHO 2003,WHO 2003,0.13418,14.20981,Mylne et al. 2014,143,128,10.1016/j.micinf.2005.04.006
50,27,T,EBOV,Confirmed,T,,,ROC,2003,,6/15/03,Mbandza,Roquet et al. 2005,Roquet et al. 2005,0.6987,14.7029,Roquet et al. 2005,NA,NA,
51,28,T,EBOV,Confirmed,T,,T,ROC,2003,10/11/02,6/15/03,Mbandza,Boumandouki et al. 2005,Boumandouki et al. 2005,0.56015,14.65732,Mylne et al. 2014,35,29,10.1016/j.micinf.2005.04.006
52,29,T,,Observed,T,,,ROC,2003,,12/15/03,LokouŽ,Caillaud et al. 2006,Caillaud et al. 2006,0.906333333,15.17583333,Caillaud et al. 2006,NA,NA,
53,30,T,SUDV,Confirmed,T,T,T,DRC,2004,4/15/04,4/15/04,Yambio,WHO 2004,WHO 2004,4.43149,28.7054,Mylne et al. 2014,17,7,
54,31,T,EBOV,Confirmed,T,,T,ROC,2005,4/18/05,4/18/05,Etoumbi,Nkoghe et al. 2011,Nkoghe et al. 2011,0.494444444,14.67861111,Nkoghe et al. 2011,12,10,
55,32,T,EBOV,Confirmed,,,T,DRC,2007,6/12/07,6/12/07,Luebo,WHO 2007,Leroy et al. 2004,-5.25956,21.40954,Mylne et al. 2014,264,187,
56,33,T,BDBV,Confirmed,,,T,Uganda,2007,8/1/07,8/1/07,Bundibugyo,Wamala et al. 2010,Wamala et al. 2010,0.7706,30.13041,Mylne et al. 2014,131,42,
57,34,T,EBOV,Confirmed,,,T,DRC,2008,11/27/08,11/27/08,Luebo,Grard et al. 2011,Grard et al. 2011,-5.63674,21.37481,Mylne et al. 2014,32,15,
58,35,T,SUDV,Confirmed,,,T,Uganda,2011,5/1/11,5/1/11,Nakisamata,Shoemaker et al. 2012,Shoemaker et al. 2012,0.62415,32.73669,Mylne et al. 2014,1,1,
59,36,T,BDBV,Confirmed,,,T,DRC,2012,8/16/12,3/20/12,"Bazanga, Isiro",Epelboin et al. 2012,Epelboin et al. 2012,3.184716,27.869332,Google Maps,38,13,
61,37,T,SUDV,Confirmed,,,T,Uganda,2012,6/11/12,6/11/12,"Nyamarunda, Kibaale",WHO 2012,WHO 2012,0.86599,30.92654,Mylne et al. 2014,11,4,
62,38,T,SUDV,Confirmed,,,T,Uganda,2012,11/13/12,11/13/12,Luwero,Albarino et al. 2013,Albarino et al. 2013,0.83175,32.58253,Mylne et al. 2014,6,3,
63,39,T,EBOV,Confirmed,,,T,Guinea,2013,12/2/13,12/2/13,Meliandou,Baize et al. 2014,Baize et al. 2014,8.6225,-10.06423,Golding unpublished,28610,11308,
64,40,T,EBOV,Confirmed,T,,T,DRC,2014,7/26/14,7/26/14,Inkanamongo,Maganga et al. 2014,Maganga et al. 2014,-0.7138719,20.5302443,Openstreetmap,69,49,
