"x","y","EBOV","BDBV","BOMV","TAFV","RESTV","SUDV","MARV","LLOV","MLAV","RAVN","DEHV"
23.5,70.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
24.5,70.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
26.5,70.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
27.5,70.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
29.5,70.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
30.5,70.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
18.5,69.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
19.5,69.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
20.5,69.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
21.5,69.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
22.5,69.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
23.5,69.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
24.5,69.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
25.5,69.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
26.5,69.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
27.5,69.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
28.5,69.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
29.5,69.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
30.5,69.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
31.5,69.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
32.5,69.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
15.5,68.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
16.5,68.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
18.5,68.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
19.5,68.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
20.5,68.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
21.5,68.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
22.5,68.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
23.5,68.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
24.5,68.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
25.5,68.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
26.5,68.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
27.5,68.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
28.5,68.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
29.5,68.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
30.5,68.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
31.5,68.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
32.5,68.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
33.5,68.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
34.5,68.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
16.5,67.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
17.5,67.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
18.5,67.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
