"","order","family","binomial","adult_mass_g","brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","hibernation_torpor","fossoriality","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","trophic_level","foraging_stratum","activity_cycle","freshwater","marine","terrestrial_non.volant","terrestrial_volant","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","island_endemicity","disected_by_mountains","glaciation","biogeographical_realm","habitat_breadth_n","foraging_aerial","foraging_arboreal","foraging_ground","foraging_marine","foraging_scansorial","island_mainland","island_marine","island_landbridge","island_endemic","bio_palearctic","bio_afrotropical","bio_antarctic","bio_australasian","bio_indomalayan","bio_nearctic","bio_neotropical","bio_oceanian","iucn_forest","iucn_savanna","iucn_shrubland","iucn_grassland","iucn_wetlands","iucn_rocky","iucn_caves","iucn_desert","iucn_marineneritic","iucn_marineoceanic","iucn_marinedeep","iucn_marineintertidal","iucn_marinecoastal","iucn_artificialterr","iucn_artificialaquatic","iucn_introducedveg","tree_match","gbif_match","iucn_moistforest","iucn_moistsavanna","relative_wing_loading","aspect_ratio","forearm_mm","median_aggregation_size","migration","mixed_species_association_n","cave_roost","cavity_roost","foliage_roost","generalist_roost","min_aridity_index","mean_aridity_index","perc80_aridity_index","pco_1","pco_2","pco_3","pco_4","pco_5","pco_6","pco_7","pco_8","pco_9","pco_10","pco_11","pco_12","pco_13","pco_14","pco_15","pco_16","pco_17"
"4467","Chiroptera","Pteropodidae","Acerodon celebensis",384.84,5.319,201.25,133.5,4947.861,NA,657.867,NA,801.61,157.206,NA,0.98,1.32,314.015,NA,145.912,NA,2390.332,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,1500,0,1500,1,"Occurs only on isolated islands",1,0,"Australasian",2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"Acerodon celebensis","Acerodon celebensis",1,0,NA,NA,133.5000001,NA,NA,NA,0,0,1,0,1.79141947644594,1.83855927375887,1.85427253952985,-61.5837856577067,-4.75346706104597,-21.880145227981,-40.3292997438318,2.12892163453233,-5.08808177053002,9.0429218041599,4.96656926527418,-2.03312740489737,4.78100441256927,2.37953160332422,5.56960616249556,-19.1428334352719,-3.17003373096666,-0.388456358999336,2.00672948131098,3.25872139186858
"4468","Chiroptera","Pteropodidae","Acerodon humilis",352.43,4.669,204.131,140,4464.094,NA,297.597,NA,408.384,144.65,NA,1.019,1.89,251.133,NA,132.285,NA,1689.421,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,NA,NA,NA,NA,"Occurs only on isolated islands",NA,NA,"Australasian",1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Acerodon humilis","Acerodon humilis",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-61.5530185448697,-4.84282326831701,-21.9400808447008,-40.3016013276082,2.03693054520016,-5.30166446203403,9.21862050570972,4.85411877070076,-2.25593545680282,4.82972459630152,2.5276608196018,5.79405818233514,-18.9203881905819,-3.50498830999601,-0.438413260947409,2.03246172321432,3.08630049388932
"4469","Chiroptera","Pteropodidae","Acerodon jubatus",1087.04,9.649,288.202,188.04,7320.342,NA,699.123,NA,866.685,166.645,NA,1,1,369.707,NA,146.257,NA,3650,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,1100,0,1100,1,"Occurs only on isolated islands",0,0,"Indomalayan",1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Acerodon jubatus","Acerodon jubatus",1,0,NA,NA,188.0400002,NA,NA,NA,0,0,1,0,1.17096823969924,1.76043439851735,2.30927669958037,-61.5252406745751,-4.94684236386802,-21.993996958216,-40.2637358792422,1.96552720425078,-5.43740522375806,9.34824347229956,4.75908119056901,-2.44244233801308,4.84367899649227,2.65516992539729,5.93651998161321,-18.6770964790477,-3.71653782672764,-0.440747903883544,2.00411538526156,2.96694827264053
"4470","Chiroptera","Pteropodidae","Acerodon leucotis",352.07,4.436,200.724,139.95,3576.227,NA,290.314,NA,397.565,143.074,NA,1.035,1.912,247.309,NA,121.6,NA,1460,NA,NA,0,2,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Ar",1,0,0,0,1,NA,0,NA,1,"Occurs only on isolated islands",1,0,"Indomalayan",1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"Acerodon leucotis","Acerodon leucotis",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16216219670647,1.28829774606784,1.47750107010988,-61.1552766143229,-5.21765475719806,-22.1960154680606,-40.2388939636618,1.77621077290088,-6.20075921519131,10.2188791298554,4.69365501299191,-3.15178286513086,5.19086445026999,2.80874595019783,6.51336191880318,-18.2558800837098,-4.95239728374979,-0.57850868069448,2.17961387703462,2.43289356377255
"6650","Chiroptera","Pteropodidae","Acerodon mackloti",467.93,5.231,210.389,145.5,4716.723,NA,398.571,NA,516.639,151.431,NA,0.98,1.754,257.6,NA,135.821,NA,1825,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,450,0,450,1,"Occurs only on isolated islands",0,0,"Australasian",2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"Acerodon mackloti","Acerodon mackloti",1,0,NA,NA,145.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-61.3707163779641,-5.03476109831115,-22.0615389042273,-40.2583920339525,1.91110433139815,-5.73845773177429,9.7297325601013,4.77912338346531,-2.73468792706995,5.01705607229104,2.70849767723514,6.20925087685732,-18.5078893126974,-4.36589426844009,-0.518791322331496,2.11872701987656,2.69596100212925
"4382","Chiroptera","Pteropodidae","Aethalops aequalis",13.9,0.993,73,44,6022.714,NA,676.798,NA,802.593,152.2,NA,0.995,1.149,365,NA,91.739,NA,2379.162,NA,NA,0,2,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Ar",1,0,0,0,1,NA,550,NA,1,"Occurs on large land bridge islands",0,0,"Indomalayan",2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Aethalops aequalis","Aethalops aequalis",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.8647596361561,7.16800349654939,0.357700504552192,-7.91693820675879,3.67920427722084,13.7382377013134,-14.9482604661706,-3.27714564296908,3.8441609634827,-5.35093540981248,5.24952188415434,1.42999769403808,8.91670324153591,-18.2332673627347,-0.698274901104139,2.04105851858744,4.56654829594457
"4383","Chiroptera","Pteropodidae","Aethalops alecto",15,0.718,73,46.49,4041.974,NA,544.183,NA,676.813,132.91,NA,0.99,1.59,274.531,NA,72.03,NA,1940.425,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,70,30,0,0,2,1,"Ar",1,0,0,0,1,2700,1000,1700,1,"Occurs on mainland",1,0,"Indomalayan",1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aethalops alecto","Aethalops alecto",1,0,NA,NA,47.25000002,NA,NA,NA,NA,NA,NA,NA,1.95989935405812,2.65626008178116,2.9580258302583,-73.917353516341,7.25451845732507,0.78267798339708,-7.11958906886466,3.5895072040283,13.8832498381298,-15.225368373961,-3.56327574843972,3.65581861638505,-5.28609297065968,5.49650394981631,1.63997848317849,8.30667758417606,-18.0855392976161,-0.674866914594918,2.0722280519508,4.91898168619512
"4384","Chiroptera","Pteropodidae","Alionycteris paucidentata",16.24,0.664,63.9,44.61,3377.352,NA,350.442,NA,479.909,129.062,NA,0.996,1.768,248.202,NA,65.086,NA,1570.286,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,2250,1500,750,1,"Occurs only on isolated islands",0,0,"Indomalayan",1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alionycteris paucidentata","Alionycteris paucidentata",1,0,NA,NA,44.60999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.2013555413326,7.78153019091622,3.64073002578533,-1.60225109048766,2.84082279059433,14.1967179896719,-16.4321841805958,-5.54489591772,2.09336742220534,-4.84938717577994,7.51959076291929,3.44966529698063,4.58012991678081,-15.8181064141687,-0.535567491198255,2.14679019214134,7.28981606762179
"5020","Chiroptera","Phyllostomidae","Ametrida centurio",11.305,0.29,55,29,6025.173,NA,343.884,NA,475.773,111.907,NA,1,1.91,244.586,NA,38.145,NA,2037.805,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,2100,NA,NA,0,"Occurs on mainland",1,0,"Neotropical",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ametrida centurio","Ametrida centurio",1,0,NA,NA,29.00000001,NA,NA,NA,0,0,1,0,0.735529505744634,1.36093240270177,1.60204280129481,21.5806318855609,-50.2535951704452,-10.9803416250859,12.0024286622004,-10.5860460083277,12.409344310288,-4.44536168475739,15.9699543246691,-1.27240956331483,10.7838604962172,-1.92387297142183,7.76974075788438,6.34622120829494,5.01795438787957,-4.11022626857805,5.2047627722147,4.82364172909528
"4873","Chiroptera","Furipteridae","Amorphochilus schnablii",4.15,0.215,50.968,35.99,5996.844,NA,505.731,NA,617.192,119.667,NA,0.995,1,362.626,0.06,67.502,NA,2190,NA,NA,0,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,2000,50,1950,0,"Occurs on mainland",1,0,"Neotropical",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"Amorphochilus schnablii","Amorphochilus schnablii",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.95272433138353,-33.9046667569969,-25.5961603928707,-13.3309995348344,-16.1368625706354,-27.0648113146512,11.6656915767714,-19.0253153529556,-13.0254611457595,-3.75791166210223,4.17081853201115,-0.0603393899129554,20.5620490200497,17.6432173893861,0.855058662495651,-2.40771530257885,11.9579137899133
