"X","order","family","binomial","adult_mass_g","brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","female_relative_maturity","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","relative_age_first_birth","mass_specific_production_rate","dispersal_km","density_n_km2","hibernation_torpor","fossoriality","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","trophic_level","foraging_stratum","activity_cycle","freshwater","marine","terrestrial_non.volant","terrestrial_volant","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","island_endemicity","disected_by_mountains","glaciation","biogeographical_realm","habitat_breadth_n","foraging_aerial","foraging_arboreal","foraging_ground","foraging_marine","foraging_scansorial","island_mainland","island_marine","island_landbridge","island_endemic","bio_palearctic","bio_afrotropical","bio_antarctic","bio_australasian","bio_indomalayan","bio_nearctic","bio_neotropical","bio_oceanian","iucn_forest","iucn_savanna","iucn_shrubland","iucn_grassland","iucn_wetlands","iucn_rocky","iucn_caves","iucn_desert","iucn_marineneritic","iucn_marineoceanic","iucn_marinedeep","iucn_marineintertidal","iucn_marinecoastal","iucn_artificialterr","iucn_artificialaquatic","iucn_introducedveg","tree_match","gbif_match","iucn_moistforest","iucn_moistsavanna","relative_wing_loading","aspect_ratio","forearm_mm","median_aggregation_size","migration","mixed_species_association_n","cave_roost","cavity_roost","foliage_roost","generalist_roost","min_aridity_index","mean_aridity_index","perc80_aridity_index","pco_1","pco_2","pco_3","pco_4","pco_5","pco_6","pco_7","pco_8","pco_9","pco_10","pco_11","pco_12","pco_13","pco_14","pco_15","pco_16","pco_17"
4467,"Chiroptera","Pteropodidae","Acerodon celebensis",384.84,5.319,201.25,133.5,4947.861,NA,657.867,0.132959879026513,NA,801.61,157.206,NA,0.98,1.32,314.015,NA,145.912,NA,2390.332,0.162011422713775,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,1500,0,1500,1,"Occurs only on isolated islands",1,0,"Australasian",2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"Acerodon celebensis","Acerodon celebensis",1,0,NA,NA,133.5000001,NA,NA,NA,0,0,1,0,1.791419476,1.838559274,1.85427254,-61.58378566,-4.753467061,-21.88014523,-40.32929974,2.128921635,-5.088081771,9.042921804,4.966569265,-2.033127405,4.781004413,2.379531603,5.569606162,-19.14283344,-3.170033731,-0.388456359,2.006729481,3.258721392
4468,"Chiroptera","Pteropodidae","Acerodon humilis",352.43,4.669,204.131,140,4464.094,NA,297.597,0.0666645908441892,NA,408.384,144.65,NA,1.019,1.89,251.133,NA,132.285,NA,1689.421,0.0914819446006289,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,NA,NA,NA,NA,"Occurs only on isolated islands",NA,NA,"Australasian",1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Acerodon humilis","Acerodon humilis",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-61.55301854,-4.842823268,-21.94008084,-40.30160133,2.036930545,-5.301664462,9.218620506,4.854118771,-2.255935457,4.829724596,2.52766082,5.794058182,-18.92038819,-3.50498831,-0.438413261,2.032461723,3.086300494
4469,"Chiroptera","Pteropodidae","Acerodon jubatus",1087.04,9.649,288.202,188.04,7320.342,NA,699.123,0.0955041444784957,NA,866.685,166.645,NA,1,1,369.707,NA,146.257,NA,3650,0.118394058638244,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,1100,0,1100,1,"Occurs only on isolated islands",0,0,"Indomalayan",1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Acerodon jubatus","Acerodon jubatus",1,0,NA,NA,188.0400002,NA,NA,NA,0,0,1,0,1.17096824,1.760434399,2.3092767,-61.52524067,-4.946842364,-21.99399696,-40.26373588,1.965527204,-5.437405224,9.348243472,4.759081191,-2.442442338,4.843678996,2.655169925,5.936519982,-18.67709648,-3.716537827,-0.440747904,2.004115385,2.966948273
4470,"Chiroptera","Pteropodidae","Acerodon leucotis",352.07,4.436,200.724,139.95,3576.227,NA,290.314,0.0811788513424903,NA,397.565,143.074,NA,1.035,1.912,247.309,NA,121.6,NA,1460,0.111168837996022,NA,NA,NA,0,2,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Ar",1,0,0,0,1,NA,0,NA,1,"Occurs only on isolated islands",1,0,"Indomalayan",1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"Acerodon leucotis","Acerodon leucotis",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.162162197,1.288297746,1.47750107,-61.15527661,-5.217654757,-22.19601547,-40.23889396,1.776210773,-6.200759215,10.21887913,4.693655013,-3.151782865,5.19086445,2.80874595,6.513361919,-18.25588008,-4.952397284,-0.578508681,2.179613877,2.432893564
6650,"Chiroptera","Pteropodidae","Acerodon mackloti",467.93,5.231,210.389,145.5,4716.723,NA,398.571,0.0845016762697322,NA,516.639,151.431,NA,0.98,1.754,257.6,NA,135.821,NA,1825,0.10953346210918,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,450,0,450,1,"Occurs only on isolated islands",0,0,"Australasian",2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"Acerodon mackloti","Acerodon mackloti",1,0,NA,NA,145.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-61.37071638,-5.034761098,-22.0615389,-40.25839203,1.911104331,-5.738457732,9.72973256,4.779123383,-2.734687927,5.017056072,2.708497677,6.209250877,-18.50788931,-4.365894268,-0.518791322,2.11872702,2.695961002
4382,"Chiroptera","Pteropodidae","Aethalops aequalis",13.9,0.993,73,44,6022.714,NA,676.798,0.112374255194585,NA,802.593,152.2,NA,0.995,1.149,365,NA,91.739,NA,2379.162,0.133261018205414,NA,NA,NA,0,2,NA,NA,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Ar",1,0,0,0,1,NA,550,NA,1,"Occurs on large land bridge islands",0,0,"Indomalayan",2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Aethalops aequalis","Aethalops aequalis",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.86475964,7.168003497,0.357700505,-7.916938207,3.679204277,13.7382377,-14.94826047,-3.277145643,3.844160963,-5.35093541,5.249521884,1.429997694,8.916703242,-18.23326736,-0.698274901,2.041058519,4.566548296
4383,"Chiroptera","Pteropodidae","Aethalops alecto",15,0.718,73,46.49,4041.974,NA,544.183,0.134632978836578,NA,676.813,132.91,NA,0.99,1.59,274.531,NA,72.03,NA,1940.425,0.167446153785254,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,70,30,0,0,2,1,"Ar",1,0,0,0,1,2700,1000,1700,1,"Occurs on mainland",1,0,"Indomalayan",1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aethalops alecto","Aethalops alecto",1,0,NA,NA,47.25000002,NA,NA,NA,NA,NA,NA,NA,1.959899354,2.656260082,2.95802583,-73.91735352,7.254518457,0.782677983,-7.119589069,3.589507204,13.88324984,-15.22536837,-3.563275748,3.655818616,-5.286092971,5.49650395,1.639978483,8.306677584,-18.0855393,-0.674866915,2.072228052,4.918981686
4384,"Chiroptera","Pteropodidae","Alionycteris paucidentata",16.24,0.664,63.9,44.61,3377.352,NA,350.442,0.103762355833801,NA,479.909,129.062,NA,0.996,1.768,248.202,NA,65.086,NA,1570.286,0.142096233972651,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,2250,1500,750,1,"Occurs only on isolated islands",0,0,"Indomalayan",1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alionycteris paucidentata","Alionycteris paucidentata",1,0,NA,NA,44.60999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.20135554,7.781530191,3.640730026,-1.60225109,2.840822791,14.19671799,-16.43218418,-5.544895918,2.093367422,-4.849387176,7.519590763,3.449665297,4.580129917,-15.81810641,-0.535567491,2.146790192,7.289816068
5020,"Chiroptera","Phyllostomidae","Ametrida centurio",11.305,0.29,55,29,6025.173,NA,343.884,0.0570745437516898,NA,475.773,111.907,NA,1,1.91,244.586,NA,38.145,NA,2037.805,0.0789642056750902,NA,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,"Ar",1,0,0,0,1,2100,NA,NA,0,"Occurs on mainland",1,0,"Neotropical",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ametrida centurio","Ametrida centurio",1,0,NA,NA,29.00000001,NA,NA,NA,0,0,1,0,0.735529506,1.360932403,1.602042801,21.58063189,-50.25359517,-10.98034163,12.00242866,-10.58604601,12.40934431,-4.445361685,15.96995432,-1.272409563,10.7838605,-1.923872971,7.769740758,6.346221208,5.017954388,-4.110226269,5.204762772,4.823641729
4873,"Chiroptera","Furipteridae","Amorphochilus schnablii",4.15,0.215,50.968,35.99,5996.844,NA,505.731,0.0843328590838781,NA,617.192,119.667,NA,0.995,1,362.626,0.06,67.502,NA,2190,0.102919468974014,0.0143855421686747,NA,NA,0,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,"A",1,0,0,0,1,2000,50,1950,0,"Occurs on mainland",1,0,"Neotropical",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"Amorphochilus schnablii","Amorphochilus schnablii",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.952724331,-33.90466676,-25.59616039,-13.33099953,-16.13686257,-27.06481131,11.66569158,-19.02531535,-13.02546115,-3.757911662,4.170818532,-0.06033939,20.56204902,17.64321739,0.855058662,-2.407715303,11.95791379
