"species","ebov_auc","bomv_auc","bdbv_auc","tafv_auc","restv_auc","sudv_auc","mlav_auc","llov_auc","marv_auc","ravn_auc","dehv_auc","orig_species","tree_match","order","family","adult_mass_g","brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","female_relative_maturity","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","relative_age_first_birth","mass_specific_production_rate","dispersal_km","density_n_km2","hibernation_torpor","fossoriality","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","trophic_level","activity_cycle","freshwater","marine","terrestrial_non.volant","terrestrial_volant","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","disected_by_mountains","glaciation","habitat_breadth_n","foraging_aerial","foraging_arboreal","foraging_ground","foraging_marine","foraging_scansorial","island_mainland","island_marine","island_landbridge","island_endemic","bio_palearctic","bio_afrotropical","bio_antarctic","bio_australasian","bio_indomalayan","bio_nearctic","bio_neotropical","bio_oceanian","iucn_forest","iucn_savanna","iucn_shrubland","iucn_grassland","iucn_wetlands","iucn_rocky","iucn_caves","iucn_desert","iucn_marineneritic","iucn_marineoceanic","iucn_marinedeep","iucn_marineintertidal","iucn_marinecoastal","iucn_artificialterr","iucn_artificialaquatic","iucn_introducedveg","min_aridity_index","mean_aridity_index","perc80_aridity_index","relative_wing_loading","aspect_ratio","median_aggregation_size","migration","mixed_species_association_n","cave_roost","cavity_roost","foliage_roost","generalist_roost","iucn_moistforest","iucn_moistsavanna","pco_1","pco_2","pco_3","pco_4","pco_5","pco_6","pco_7","pco_8","pco_9","pco_10","pco_11","pco_12","pco_13","pco_14","pco_15","pco_16","pco_17"
"Pteronotus quadridens",178.7738235,142.9296193,163.4866057,269.1600423,78.11354563,219.4842306,241.1782749,215.2758788,176.5469853,176.1676956,192.9974964,"Pteronotus quadridens","Pteronotus quadridens","Chiroptera","Mormoopidae",5.27,0.275,62.345,37.5,5087.123,NA,374.509,0.073619018,NA,481.13,156.43,NA,1.21,1,355.767,2.14,68.71,NA,1893.147,0.094578016,0.491347249,NA,NA,0,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,NA,NA,NA,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.692378549,1.189494757,1.249722093,32.692984,6.919999993,71000.00005,NA,9.000000001,0,0,0,1,0,0,-5.119589562,-34.79696617,-25.24758433,-11.69608659,-16.78731276,-26.87236068,10.81666916,-19.27933903,-12.1302261,-4.432360667,4.173228712,-0.777484626,19.28987874,17.74060097,1.270791828,-2.48634036,12.55569022
"Scotoecus albofuscus",233.0062592,152.6679734,173.4712344,281.1290523,285.132672,316.6616453,171.3069965,322.9873233,244.8444321,245.0109379,235.1939895,"Scotoecus albofuscus","Scotoecus albofuscus","Chiroptera","Vespertilionidae",4.5,0.142,57.517,29.49,2889.66,NA,298.876,0.103429469,NA,385.475,81.125,NA,1.751,1.107,354.351,NA,48.965,NA,1625.999,0.133398047,NA,NA,NA,1,2,NA,NA,100,0,0,100,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,NA,NA,NA,NA,NA,NA,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06152724,0.364497131,0.366414852,0.00559993,5.300119048,NA,NA,NA,NA,NA,NA,NA,0,0,35.23348992,25.7192249,1.716767348,-3.370289345,-11.68061787,12.42529799,13.29505982,-14.0956192,14.84431023,9.902265796,-3.414009039,7.362425682,1.753134534,0.180051736,14.67380527,3.042879525,0.231870453
"Rhinophylla pumilio",158.2627113,128.8571267,210.00434,245.4598694,116.3062627,313.1714706,135.9285826,218.1216882,169.7777384,169.9045892,156.1589401,"Rhinophylla pumilio","Rhinophylla pumilio","Chiroptera","Phyllostomidae",9.54,0.356,62.901,33.5,5265.811,NA,481.85,0.091505373,NA,594.784,117.77,NA,0.99,1,334.091,NA,64.245,NA,2105.671,0.112952022,NA,NA,NA,0,2,NA,NA,10,0,90,10,0,0,0,0,0,90,0,0,0,1,2,1,0,0,0,1,1400,NA,NA,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.873374042,1.783964215,2.360884706,38.8553,6.208499993,NA,NA,NA,0,0,0,1,1,0,20.36220542,-50.2736824,-16.16003946,12.83019235,-19.2671914,3.556030785,-8.85083356,5.699279536,6.528373722,3.694041571,-3.865763955,2.182330151,-3.196144661,-3.398206086,-2.300489578,2.839041314,-7.045570693
"Gardnerycteris crenulata",150.6638073,123.0801975,221.0624338,251.0708828,123.0539623,369.2742924,161.8521711,193.0375939,186.8200533,186.8156113,174.251099,"Mimon crenulatum","Mimon crenulatum","Chiroptera","Phyllostomidae",13.91,0.34,75,48.84,7300,547.875,547.875,0.07505137,547.875,724.921,144.393,NA,0.995,1,365.101,NA,273.96,NA,2443.84,0.099304247,NA,NA,NA,0,2,NA,NA,50,0,50,50,0,0,0,0,0,50,0,0,0,2,3,1,0,0,0,1,NA,NA,NA,0,1,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.580831258,1.834446695,2.230919003,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,19.61584392,-49.46340861,-18.07119833,11.91252696,-21.93158567,-5.106554736,-9.473508999,-4.86787572,8.284809545,-5.01988132,-1.830757054,-5.633719532,-7.938226559,-5.389072077,1.334448678,-3.465903876,-5.472100831
"Artibeus jamaicensis",161.3983338,175.6215215,156.4449047,262.8573384,109.295673,289.2798269,150.73452,179.4843696,169.7777384,169.9045892,156.1589401,"Artibeus jamaicensis","Artibeus jamaicensis","Chiroptera","Phyllostomidae",46.1,0.93,93,60.34,7014.083,333.22,288.37,0.041113001,365.28,440.57,106.54,NA,1,2,219.849,8.9,15,33.79,1920.478,0.062812202,0.386117137,NA,NA,0,2,NA,NA,10,0,90,10,0,0,0,0,0,80,10,0,0,1,2,1,0,0,0,1,NA,NA,NA,0,1,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0.171016303,1.184676792,1.519199884,45.9983375,6.4,1,0,NA,0,0,0,1,1,0,21.01507064,-50.19136021,-13.35713265,12.7144585,-14.52042535,10.36566954,-6.651553185,14.40939896,2.039329487,10.782044,-3.620691912,8.281882072,4.266215995,2.912518412,-5.219375944,7.819350478,0.235050271
"Diaemus youngi",155.2059948,136.827407,145.8755986,272.9612362,114.3490032,291.8928896,184.333495,208.1039368,170.1634317,170.2911759,156.5907477,"Diaemus youngi","Diaemus youngi","Chiroptera","Phyllostomidae",36.6,0.97,115,50.78,7300,NA,585.355,0.080185616,NA,740.942,258.74,NA,1,1.101,357.649,NA,212.258,NA,2495.806,0.101498904,NA,NA,NA,0,2,NA,NA,0,100,0,0,100,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,NA,NA,NA,0,1,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.562101911,1.203787506,1.569461844,52.04264724,8.500000006,30.00000002,0,9.000000001,0,0,0,1,1,0,16.71597192,-44.44183942,-20.08233749,6.372833361,-22.44963457,-18.46517296,-3.475387582,-17.61031629,1.745357086,-9.657658333,3.072934564,-5.814483515,1.644754338,3.160021491,2.374926073,-0.23170723,7.036539136
"Glossophaga leachii",160.0586385,127.2576214,144.3286287,210.3433813,158.1332264,387.5498707,206.0768819,176.3227133,192.3474504,192.3419173,182.0618171,"Glossophaga leachii","Glossophaga leachii","Chiroptera","Phyllostomidae",10.7,0.477,59,35.71,4015,NA,268.763,0.066939726,NA,383.259,107.255,NA,1,2,228.318,0.38,46.65,NA,1637.825,0.095456787,0.071028037,NA,NA,0,2,NA,NA,40,0,60,40,0,0,0,0,0,30,30,0,0,3,2,1,0,0,0,1,2400,NA,NA,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.329681142,1.483096532,2.050839259,NA,NA,NA,NA,3.999999999,1,0,0,0,0,0,19.13450259,-48.51220747,-18.80875875,11.17396752,-22.82629478,-8.950573897,-9.317525215,-8.764950074,8.332754176,-7.285302152,-1.008375161,-7.175134658,-7.529163888,-4.624882846,1.379335799,-3.187056854,-3.584838818
"Stenoderma rufum",136.1607445,129.2894098,119.8175109,251.3926781,75.87433058,252.3492965,59.64346574,149.5247249,169.7777384,169.9045892,156.1589401,"Stenoderma rufum","Stenoderma rufum","Chiroptera","Phyllostomidae",21.1,0.642,61.87,49.37,5842.66,NA,416.664,0.071314093,NA,538.064,116.847,NA,0.995,1.762,247.171,7,53.898,NA,2126.518,0.0920923,0.581627014,NA,NA,0,2,NA,NA,0,0,100,0,0,0,0,0,0,100,0,0,0,1,1,1,0,0,0,1,NA,NA,NA,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78218486,1.700022075,1.99156175,64.66010919,5.900000005,NA,NA,NA,0,0,1,0,0,0,21.49746903,-50.18830571,-11.26400721,12.1104925,-10.96301613,12.32175543,-4.661572637,15.96171548,-0.891546563,11.05524135,-2.183842851,8.083282583,6.386200485,5.055340946,-4.385885128,5.976011468,4.505426168
"Phylloderma stenops",103.1781393,61.65125628,136.1988135,253.5759175,96.05590434,404.6727831,18.83642574,167.8382639,164.6488877,164.8623358,146.8113434,"Phylloderma stenops","Phylloderma stenops","Chiroptera","Phyllostomidae",55.82,1.338,115,71.9,5210.252,NA,383.678,0.073639049,NA,504.284,122.526,NA,0.98,1.689,242.29,NA,80.65,NA,2026.325,0.096786873,NA,NA,NA,0,2,NA,NA,10,0,90,10,0,0,0,0,0,20,10,60,0,2,2,1,0,0,0,1,2600,NA,NA,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.515407643,1.852230965,2.545315488,30.4258,6.228000001,NA,NA,NA,NA,NA,NA,NA,1,1,19.65942166,-49.54263007,-17.99604102,11.98204531,-21.83184603,-4.725862966,-9.473646579,-4.473927955,8.262658544,-4.772197793,-1.905848931,-5.444656498,-7.932327397,-5.487309196,1.313364152,-3.424035759,-5.694940841
"Glossophaga soricina",157.0747425,122.744212,189.7607129,258.0783889,182.1270868,326.6318474,122.1669171,179.8979844,170.1765095,170.3042537,156.582352,"Glossophaga soricina","Glossophaga soricina","Chiroptera","Phyllostomidae",10.25,0.39,53.995,35.7,4015,NA,274.371,0.068336488,NA,390.925,107.255,NA,1,2,243.993,NA,46.65,NA,1670.54,0.097366127,NA,NA,NA,0,2,NA,NA,40,0,60,40,0,0,0,0,0,30,30,0,0,3,1,1,0,0,0,1,NA,NA,NA,0,1,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.003347875,1.330129605,1.987272435,47.79920543,6.4,1000,0,29.99999999,0,0,0,1,1,0,19.06090315,-48.31589148,-18.88958769,11.00706301,-22.98211374,-9.644579585,-9.24716322,-9.45297563,8.295421467,-7.619612328,-0.857673081,-7.31247727,-7.293504949,-4.458910172,1.304627971,-2.848608643,-3.22432496
